#mw-head,#mw-head,navigation,null
#p-search,#p-search,search,null
#cite_ref-siu_10-3,#cite_ref-siu_10-3,d,null
#cite_ref-siu_10-4,#cite_ref-siu_10-4,e,null
#cite_ref-siu_10-5,#cite_ref-siu_10-5,f,null
#cite_ref-siu_10-6,#cite_ref-siu_10-6,g,null
#cite_ref-siu_10-7,#cite_ref-siu_10-7,h,null
#cite_ref-siu_10-8,#cite_ref-siu_10-8,i,null
#cite_ref-siu_10-9,#cite_ref-siu_10-9,j,null
#cite_ref-siu_10-10,#cite_ref-siu_10-10,k,null
http://onlinelibrary.wiley.com/doi/10.1111/j.0022-3840.1999.3302_67.x/abstract,http://onlinelibrary.wiley.com/doi/10.1111/j.0022-3840.1999.3302_67.x/abstract,"Lanterns of the mid-Autumn Festival: A Reflection of Hong Kong Cultural Change",null
/wiki/Digital_object_identifier,/wiki/Digital_object_identifier,doi,Digital object identifier
//doi.org/10.1111%2Fj.0022-3840.1999.3302_67.x,//doi.org/10.1111%2Fj.0022-3840.1999.3302_67.x,10.1111/j.0022-3840.1999.3302_67.x,null
#cite_ref-yu_11-0,#cite_ref-yu_11-0,a,null
#cite_ref-yu_11-1,#cite_ref-yu_11-1,b,null
/wiki/Special:BookSources/8876528482,/wiki/Special:BookSources/8876528482,8876528482,Special:BookSources/8876528482
#cite_ref-roy_12-0,#cite_ref-roy_12-0,a,null
#cite_ref-roy_12-1,#cite_ref-roy_12-1,b,null
/wiki/Special:BookSources/1576070891,/wiki/Special:BookSources/1576070891,1576070891,Special:BookSources/1576070891
#cite_ref-handbook_13-0,#cite_ref-handbook_13-0,a,null
#cite_ref-handbook_13-1,#cite_ref-handbook_13-1,b,null
/wiki/Special:BookSources/157607806X,/wiki/Special:BookSources/157607806X,157607806X,Special:BookSources/157607806X
#cite_ref-stepanchuk_14-0,#cite_ref-stepanchuk_14-0,a,null
#cite_ref-stepanchuk_14-1,#cite_ref-stepanchuk_14-1,b,null
#cite_ref-stepanchuk_14-2,#cite_ref-stepanchuk_14-2,c,null
#cite_ref-stepanchuk_14-3,#cite_ref-stepanchuk_14-3,d,null
#cite_ref-stepanchuk_14-4,#cite_ref-stepanchuk_14-4,e,null
#cite_ref-stepanchuk_14-5,#cite_ref-stepanchuk_14-5,f,null
#cite_ref-stepanchuk_14-6,#cite_ref-stepanchuk_14-6,g,null
#cite_ref-stepanchuk_14-7,#cite_ref-stepanchuk_14-7,h,null
#cite_ref-stepanchuk_14-8,#cite_ref-stepanchuk_14-8,i,null
#cite_ref-stepanchuk_14-9,#cite_ref-stepanchuk_14-9,j,null
#cite_ref-stepanchuk_14-10,#cite_ref-stepanchuk_14-10,k,null
/wiki/Special:BookSources/0835124819,/wiki/Special:BookSources/0835124819,0835124819,Special:BookSources/0835124819
#cite_ref-yang_15-0,#cite_ref-yang_15-0,a,null
#cite_ref-yang_15-1,#cite_ref-yang_15-1,b,null
//doi.org/10.2979%2Fjfr.2006.43.3.263,//doi.org/10.2979%2Fjfr.2006.43.3.263,10.2979/jfr.2006.43.3.263,null
/wiki/JSTOR,/wiki/JSTOR,JSTOR,JSTOR
//www.jstor.org/stable/4640212,//www.jstor.org/stable/4640212,4640212,null
#cite_ref-cohen_16-0,#cite_ref-cohen_16-0,a,null
#cite_ref-cohen_16-1,#cite_ref-cohen_16-1,b,null
http://www.destinationvietnam.com/stories-photos/1055/60789485/4/con0_rec;jsessionid=96D02A8A1D3653C5D0AD9165EDC708B6,http://www.destinationvietnam.com/stories-photos/1055/60789485/4/con0_rec;jsessionid=96D02A8A1D3653C5D0AD9165EDC708B6,"Mid-Autumn Children's Festival",null
#cite_ref-chiculture1_17-0,#cite_ref-chiculture1_17-0,a,null
#cite_ref-chiculture1_17-1,#cite_ref-chiculture1_17-1,b,null
http://www.chiculture.net/1302/html/1302festivals_b02b01.shtml,http://www.chiculture.net/1302/html/1302festivals_b02b01.shtml,"中秋食品",null
#cite_ref-18,#cite_ref-18,^,null
/wiki/Special:BookSources/0521186595,/wiki/Special:BookSources/0521186595,0521186595,Special:BookSources/0521186595
#cite_ref-19,#cite_ref-19,^,null
https://books.google.com/books?id=Ph2QpKioOCcC&pg=PA101,https://books.google.com/books?id=Ph2QpKioOCcC&pg=PA101,p. 101,null
#cite_ref-20,#cite_ref-20,^,null
https://books.google.com/books?id=o75duHSMRp8C&pg=PA121,https://books.google.com/books?id=o75duHSMRp8C&pg=PA121,p. 121,null
#cite_ref-21,#cite_ref-21,^,null
https://books.google.com/books?id=XzAQ2xulj8IC&pg=PA136,https://books.google.com/books?id=XzAQ2xulj8IC&pg=PA136,p. 136,null
#cite_ref-tom_22-0,#cite_ref-tom_22-0,^,null
/wiki/Special:BookSources/0824812859,/wiki/Special:BookSources/0824812859,0824812859,Special:BookSources/0824812859
#cite_ref-:0_23-0,#cite_ref-:0_23-0,a,null
#cite_ref-:0_23-1,#cite_ref-:0_23-1,b,null
http://www.shanghaidaily.com/Feature/travel/Xiamen-rolls-the-dice-parties-for-Moon-Festival/shdaily.shtml,http://www.shanghaidaily.com/Feature/travel/Xiamen-rolls-the-dice-parties-for-Moon-Festival/shdaily.shtml,"Xiamen rolls the dice, parties for Moon Festival",null
#cite_ref-hkepd-1_24-0,#cite_ref-hkepd-1_24-0,^,null
http://www.epd.gov.hk/epd/english/environmentinhk/waste/eco_responsibility/gts_packaging.html,http://www.epd.gov.hk/epd/english/environmentinhk/waste/eco_responsibility/gts_packaging.html,"Voluntary Agreement on Management of Mooncake Packaging",null
#cite_ref-tet_25-0,#cite_ref-tet_25-0,^,null
https://web.archive.org/web/20120623014205/http://www.familyculture.com/holidays/tettrungthu.htm,https://web.archive.org/web/20120623014205/http://www.familyculture.com/holidays/tettrungthu.htm,"Tet Trung Thu",null
http://www.familyculture.com/holidays/tettrungthu.htm,http://www.familyculture.com/holidays/tettrungthu.htm,the original,null
#cite_ref-26,#cite_ref-26,^,null
/wiki/Special:BookSources/0306483211,/wiki/Special:BookSources/0306483211,0306483211,Special:BookSources/0306483211
#cite_ref-27,#cite_ref-27,^,null
http://sg.entertainment.yahoo.com/news/traditional-bbq-mid-autumn-festival-132534304.html,http://sg.entertainment.yahoo.com/news/traditional-bbq-mid-autumn-festival-132534304.html,"Traditional BBQ for Mid-Autumn Festival?",null
#cite_ref-28,#cite_ref-28,^,null
http://www.taipeitimes.com/News/taiwan/archives/2016/09/12/2003654996,http://www.taipeitimes.com/News/taiwan/archives/2016/09/12/2003654996,"MID-AUTUMN FESTIVAL: Officials list legal barbecue sites for festival",null
/wiki/Category:CS1_maint:_Uses_authors_parameter,/wiki/Category:CS1_maint:_Uses_authors_parameter,CS1 maint: Uses authors parameter,Category:CS1 maint: Uses authors parameter
#cite_ref-29,#cite_ref-29,^,null
http://www.chinesetimeschool.com/en-us/articles/how-the-world-celebrates-mid-autumn-festival/,http://www.chinesetimeschool.com/en-us/articles/how-the-world-celebrates-mid-autumn-festival/,"How the world celebrates Mid-Autumn Festival - Chinese News - Page 1 - chinesetimeschool.com",null
#cite_ref-30,#cite_ref-30,^,null
http://www.bairun.net/bairun_cn/insight_xunwei10_cn.html,http://www.bairun.net/bairun_cn/insight_xunwei10_cn.html,共同的团圆 – 亚洲各国中秋节大观 (Mid Autumn Festival, Reunion in Asia),null
#cite_ref-31,#cite_ref-31,^,null
http://www.irhal.com/Cambodia/Phnom-Penh/Festivals/Mid-Autumn-Festival.html,http://www.irhal.com/Cambodia/Phnom-Penh/Festivals/Mid-Autumn-Festival.html,"Irhal – Islamic Halal Travel Guide for the Muslim Traveler",null
#cite_ref-32,#cite_ref-32,^,null
http://www.khmertimeskh.com/news/28938/mid-autumn-mooncakes/,http://www.khmertimeskh.com/news/28938/mid-autumn-mooncakes/,"Mid-Autumn Mooncakes",null
#cite_ref-33,#cite_ref-33,^,null
http://goasiadaytrip.com/blog/asian-mid-autumn-festival.html,http://goasiadaytrip.com/blog/asian-mid-autumn-festival.html,"Asian Mid Autumn Festival – Blog's GoAsiaDayTrip",null
#cite_ref-34,#cite_ref-34,^,null
http://event-carnival.com/laos/that-luang-festival,http://event-carnival.com/laos/that-luang-festival,"That Luang Festival – Event Carnival",null
#cite_ref-35,#cite_ref-35,^,null
http://www.mmtimes.com/index.php/lifestyle/17155-thadingyut-festival-of-lights.html,http://www.mmtimes.com/index.php/lifestyle/17155-thadingyut-festival-of-lights.html,"Thadingyut: Festival of Lights",null
#cite_ref-36,#cite_ref-36,^,null
http://discoverydmc.com/travel-guides/myanmar-festivals,http://discoverydmc.com/travel-guides/myanmar-festivals,"Myanmar Festivals 2016–2017",null
#cite_ref-Mid-Autumn_Festival_celebrations_37-0,#cite_ref-Mid-Autumn_Festival_celebrations_37-0,^,null
http://www.chinadaily.com.cn/culture/2016-09/13/content_26774538.htm,http://www.chinadaily.com.cn/culture/2016-09/13/content_26774538.htm,"How the world celebrates Mid-Autumn Festival[1]- Chinadaily.com.cn",null
#cite_ref-Mid-Autumn_Festival_in_Asia_38-0,#cite_ref-Mid-Autumn_Festival_in_Asia_38-0,^,null
http://www.womenofchina.cn/womenofchina/html1/culture/living/1509/2312-1.htm,http://www.womenofchina.cn/womenofchina/html1/culture/living/1509/2312-1.htm,"Mid-Autumn Festival Traditions – All China Women's Federation",null
#cite_ref-39,#cite_ref-39,^,null
http://www.officeholidays.com/countries/sri_lanka/full_moon.php,http://www.officeholidays.com/countries/sri_lanka/full_moon.php,"Poya – Sri Lanka – Office Holidays",null
#cite_ref-40,#cite_ref-40,^,null
http://aglobalworld.com/holidays-around-the-world/tag/september-calendar/,http://aglobalworld.com/holidays-around-the-world/tag/september-calendar/,"september calendar",null
#cite_ref-41,#cite_ref-41,^,null
http://www.news.lk/news/sri-lanka/item/3442-the-navam-pura-pasaloswaka-poya-day-falls-today,http://www.news.lk/news/sri-lanka/item/3442-the-navam-pura-pasaloswaka-poya-day-falls-today,"Today is Vap Full Moon Poya Day",null
#cite_ref-42,#cite_ref-42,^,null
http://www.hko.gov.hk/gts/time/conversion.htm,http://www.hko.gov.hk/gts/time/conversion.htm,"Gregorian-Lunar Calendar Conversion Table",null
/w/index.php?title=Mid-Autumn_Festival&action=edit&section=30,/w/index.php?title=Mid-Autumn_Festival&action=edit&section=30,edit,Edit section: External links
https://commons.wikimedia.org/wiki/Category:Mid-Autumn_Festival,https://commons.wikimedia.org/wiki/Category:Mid-Autumn_Festival,Wikimedia Commons,null
http://www.moonfestival.org,http://www.moonfestival.org,San Francisco Chinatown Autumn Moon Festival,null
https://www.youtube.com/watch?v=-X371xoBUdA,https://www.youtube.com/watch?v=-X371xoBUdA,Moon Viewing Festival at,null
/wiki/Sumiyoshi_taisha,/wiki/Sumiyoshi_taisha,Sumiyoshi taisha,Sumiyoshi taisha
/wiki/YouTube,/wiki/YouTube,YouTube,YouTube
https://www.youtube.com/watch?v=tFK3WPtj46c,https://www.youtube.com/watch?v=tFK3WPtj46c,Brief video about the history and traditions of Mid-Autumn Festival,null
/wiki/Template:Public_holidays_in_China,/wiki/Template:Public_holidays_in_China,v,Template:Public holidays in China
/wiki/Template_talk:Public_holidays_in_China,/wiki/Template_talk:Public_holidays_in_China,t,Template talk:Public holidays in China
//en.wikipedia.org/w/index.php?title=Template:Public_holidays_in_China&action=edit,//en.wikipedia.org/w/index.php?title=Template:Public_holidays_in_China&action=edit,e,null
/wiki/Public_holidays_in_China,/wiki/Public_holidays_in_China,Public holidays in China,Public holidays in China
/wiki/Golden_Week_(China),/wiki/Golden_Week_(China),Golden weeks,Golden Week (China)
/wiki/Chinese_New_Year,/wiki/Chinese_New_Year,Lunar New Year,Chinese New Year
/wiki/National_Day_of_the_People%27s_Republic_of_China,/wiki/National_Day_of_the_People%27s_Republic_of_China,PRC National Day,National Day of the People's Republic of China
/wiki/New_Year%27s_Day,/wiki/New_Year%27s_Day,New Year's Day,New Year's Day
/wiki/Qingming_Festival,/wiki/Qingming_Festival,Ching Ming Festival,Qingming Festival
/wiki/International_Workers%27_Day,/wiki/International_Workers%27_Day,Workers' Day,International Workers' Day
/wiki/Duanwu_Festival,/wiki/Duanwu_Festival,Tuen Ng Festival,Duanwu Festival
/wiki/Template:Public_holidays_in_Hong_Kong,/wiki/Template:Public_holidays_in_Hong_Kong,v,Template:Public holidays in Hong Kong
/wiki/Template_talk:Public_holidays_in_Hong_Kong,/wiki/Template_talk:Public_holidays_in_Hong_Kong,t,Template talk:Public holidays in Hong Kong
//en.wikipedia.org/w/index.php?title=Template:Public_holidays_in_Hong_Kong&action=edit,//en.wikipedia.org/w/index.php?title=Template:Public_holidays_in_Hong_Kong&action=edit,e,null
/wiki/Public_holidays_in_Hong_Kong,/wiki/Public_holidays_in_Hong_Kong,Public holidays in Hong Kong,Public holidays in Hong Kong
/wiki/Good_Friday,/wiki/Good_Friday,Good Friday,Good Friday
/wiki/Holy_Saturday,/wiki/Holy_Saturday,Holy Saturday,Holy Saturday
/wiki/Easter_Monday,/wiki/Easter_Monday,Easter Monday,Easter Monday
/wiki/Buddha%27s_Birthday,/wiki/Buddha%27s_Birthday,Buddha's Birthday,Buddha's Birthday
/wiki/Labour_Day,/wiki/Labour_Day,Labour Day,Labour Day
/wiki/Hong_Kong_Special_Administrative_Region_Establishment_Day,/wiki/Hong_Kong_Special_Administrative_Region_Establishment_Day,Hong Kong SAR Establishment Day,Hong Kong Special Administrative Region Establishment Day
/wiki/Double_Ninth_Festival,/wiki/Double_Ninth_Festival,Chung Yeung Festival,Double Ninth Festival
/wiki/Christmas,/wiki/Christmas,Christmas Day,Christmas
/wiki/Boxing_Day,/wiki/Boxing_Day,Boxing Day,Boxing Day
/wiki/Queen%27s_Official_Birthday,/wiki/Queen%27s_Official_Birthday,Queen's Birthday,Queen's Official Birthday
/wiki/Liberation_Day_(Hong_Kong),/wiki/Liberation_Day_(Hong_Kong),Liberation Day,Liberation Day (Hong Kong)
/wiki/National_Day_of_the_Republic_of_China,/wiki/National_Day_of_the_Republic_of_China,Double Ten Day,National Day of the Republic of China
/wiki/Remembrance_Day,/wiki/Remembrance_Day,Remembrance Day,Remembrance Day
/wiki/Template:Taiwan_topics,/wiki/Template:Taiwan_topics,v,Template:Taiwan topics
/wiki/Template_talk:Taiwan_topics,/wiki/Template_talk:Taiwan_topics,t,Template talk:Taiwan topics
//en.wikipedia.org/w/index.php?title=Template:Taiwan_topics&action=edit,//en.wikipedia.org/w/index.php?title=Template:Taiwan_topics&action=edit,e,null
/wiki/Index_of_Taiwan-related_articles,/wiki/Index_of_Taiwan-related_articles,articles,Index of Taiwan-related articles
/wiki/History_of_Taiwan,/wiki/History_of_Taiwan,History,History of Taiwan
/wiki/Timeline_of_Taiwanese_history,/wiki/Timeline_of_Taiwanese_history,Timeline of Taiwanese history,Timeline of Taiwanese history
/wiki/Prehistory_of_Taiwan,/wiki/Prehistory_of_Taiwan,Prehistory,Prehistory of Taiwan
/wiki/List_of_archaeological_sites_in_Taiwan,/wiki/List_of_archaeological_sites_in_Taiwan,archaeological sites,List of archaeological sites in Taiwan
/wiki/Dutch_Formosa,/wiki/Dutch_Formosa,Dutch Formosa,Dutch Formosa
/wiki/Spanish_Formosa,/wiki/Spanish_Formosa,Spanish Formosa,Spanish Formosa
/wiki/Kingdom_of_Tungning,/wiki/Kingdom_of_Tungning,Kingdom of Tungning,Kingdom of Tungning
/wiki/Taiwan_under_Qing_rule,/wiki/Taiwan_under_Qing_rule,Qing Empire,Taiwan under Qing rule
/wiki/Republic_of_Formosa,/wiki/Republic_of_Formosa,Republic of Formosa,Republic of Formosa
/wiki/Taiwan_under_Japanese_rule,/wiki/Taiwan_under_Japanese_rule,Empire of Japan,Taiwan under Japanese rule
/wiki/History_of_Taiwan_since_1945,/wiki/History_of_Taiwan_since_1945,Republic of China,History of Taiwan since 1945
/wiki/Geography_of_Taiwan,/wiki/Geography_of_Taiwan,Geography,Geography of Taiwan
/wiki/List_of_cities_in_Taiwan,/wiki/List_of_cities_in_Taiwan,Cities,List of cities in Taiwan
/wiki/Geography_of_Taiwan#Climate,/wiki/Geography_of_Taiwan#Climate,Climate,Geography of Taiwan
/wiki/List_of_earthquakes_in_Taiwan,/wiki/List_of_earthquakes_in_Taiwan,Earthquakes,List of earthquakes in Taiwan
/wiki/List_of_endemic_species_of_Taiwan,/wiki/List_of_endemic_species_of_Taiwan,Endemic species,List of endemic species of Taiwan
/wiki/List_of_protected_species_in_Taiwan,/wiki/List_of_protected_species_in_Taiwan,Protected species,List of protected species in Taiwan
/wiki/Taiwanese_hot_springs,/wiki/Taiwanese_hot_springs,Hot springs,Taiwanese hot springs
/wiki/List_of_islands_of_Taiwan,/wiki/List_of_islands_of_Taiwan,Islands,List of islands of Taiwan
/wiki/List_of_lakes_in_Taiwan,/wiki/List_of_lakes_in_Taiwan,Lakes,List of lakes in Taiwan
/wiki/List_of_mountains_in_Taiwan,/wiki/List_of_mountains_in_Taiwan,Mountains,List of mountains in Taiwan
/wiki/National_parks_of_Taiwan,/wiki/National_parks_of_Taiwan,National parks,National parks of Taiwan
/wiki/List_of_rivers_of_Taiwan,/wiki/List_of_rivers_of_Taiwan,Rivers,List of rivers of Taiwan
/wiki/List_of_national_scenic_areas_in_Taiwan,/wiki/List_of_national_scenic_areas_in_Taiwan,Scenic areas,List of national scenic areas in Taiwan
/wiki/List_of_Taiwanese_superlatives,/wiki/List_of_Taiwanese_superlatives,Superlatives,List of Taiwanese superlatives
/wiki/List_of_volcanoes_in_Taiwan,/wiki/List_of_volcanoes_in_Taiwan,Volcanoes,List of volcanoes in Taiwan
/wiki/Government_of_the_Republic_of_China,/wiki/Government_of_the_Republic_of_China,Government,Government of the Republic of China
/wiki/Politics_of_the_Republic_of_China,/wiki/Politics_of_the_Republic_of_China,politics,Politics of the Republic of China
/wiki/Economy_of_Taiwan,/wiki/Economy_of_Taiwan,Economy,Economy of Taiwan
/wiki/Censorship_in_Taiwan,/wiki/Censorship_in_Taiwan,Censorship,Censorship in Taiwan
/wiki/Constitution_of_the_Republic_of_China,/wiki/Constitution_of_the_Republic_of_China,Constitution,Constitution of the Republic of China
/wiki/Elections_in_Taiwan,/wiki/Elections_in_Taiwan,Elections,Elections in Taiwan
/wiki/Human_rights_in_Taiwan,/wiki/Human_rights_in_Taiwan,Human rights,Human rights in Taiwan
/wiki/LGBT_rights_in_Taiwan,/wiki/LGBT_rights_in_Taiwan,LGBT rights,LGBT rights in Taiwan
/wiki/LGBT_history_in_Taiwan,/wiki/LGBT_history_in_Taiwan,LGBT history,LGBT history in Taiwan
/wiki/National_Security_Bureau_(Taiwan),/wiki/National_Security_Bureau_(Taiwan),Intelligence,National Security Bureau (Taiwan)
/wiki/Law_of_Taiwan,/wiki/Law_of_Taiwan,Law,Law of Taiwan
/wiki/National_Police_Agency_(Republic_of_China),/wiki/National_Police_Agency_(Republic_of_China),enforcement,National Police Agency (Republic of China)
/wiki/Nationality_law_of_Taiwan,/wiki/Nationality_law_of_Taiwan,nationality,Nationality law of Taiwan
/wiki/Legislative_Yuan,/wiki/Legislative_Yuan,null,Legislative Yuan
/wiki/Republic_of_China_Armed_Forces,/wiki/Republic_of_China_Armed_Forces,Military,Republic of China Armed Forces
/wiki/Conscription_in_Taiwan,/wiki/Conscription_in_Taiwan,conscription,Conscription in Taiwan
/wiki/President_of_the_Republic_of_China,/wiki/President_of_the_Republic_of_China,President,President of the Republic of China
/wiki/List_of_political_parties_in_Taiwan,/wiki/List_of_political_parties_in_Taiwan,Political parties,List of political parties in Taiwan
/wiki/Propaganda_in_the_Republic_of_China,/wiki/Propaganda_in_the_Republic_of_China,Propaganda,Propaganda in the Republic of China
/wiki/Administrative_divisions_of_Taiwan,/wiki/Administrative_divisions_of_Taiwan,null,Administrative divisions of Taiwan
/wiki/Special_municipality_(Taiwan),/wiki/Special_municipality_(Taiwan),Special municipalities,Special municipality (Taiwan)
/wiki/Kaohsiung,/wiki/Kaohsiung,Kaohsiung,Kaohsiung
/wiki/New_Taipei_City,/wiki/New_Taipei_City,New Taipei,New Taipei City
/wiki/Taichung,/wiki/Taichung,Taichung,Taichung
/wiki/Tainan,/wiki/Tainan,Tainan,Tainan
/wiki/Taipei,/wiki/Taipei,Taipei,Taipei
/wiki/Taoyuan,_Taiwan,/wiki/Taoyuan,_Taiwan,Taoyuan,Taoyuan, Taiwan
/wiki/Provincial_city_(Taiwan),/wiki/Provincial_city_(Taiwan),Cities,Provincial city (Taiwan)
/wiki/Chiayi,/wiki/Chiayi,Chiayi,Chiayi
/wiki/Hsinchu,/wiki/Hsinchu,Hsinchu,Hsinchu
/wiki/Keelung,/wiki/Keelung,Keelung,Keelung
/wiki/County_(Taiwan),/wiki/County_(Taiwan),Counties,County (Taiwan)
/wiki/Changhua_County,/wiki/Changhua_County,Changhua,Changhua County
/wiki/Chiayi_County,/wiki/Chiayi_County,Chiayi,Chiayi County
/wiki/Hsinchu_County,/wiki/Hsinchu_County,Hsinchu,Hsinchu County
/wiki/Hualien_County,/wiki/Hualien_County,Hualien,Hualien County
/wiki/Kinmen,/wiki/Kinmen,Kinmen,Kinmen
/wiki/Matsu_Islands,/wiki/Matsu_Islands,Matsu,Matsu Islands
/wiki/Miaoli_County,/wiki/Miaoli_County,Miaoli,Miaoli County
/wiki/Nantou_County,/wiki/Nantou_County,Nantou,Nantou County
/wiki/Pingtung_County,/wiki/Pingtung_County,Pingtung,Pingtung County
/wiki/Taitung_County,/wiki/Taitung_County,Taitung,Taitung County
/wiki/Yilan_County,_Taiwan,/wiki/Yilan_County,_Taiwan,Yilan,Yilan County, Taiwan
/wiki/Yunlin_County,/wiki/Yunlin_County,Yunlin,Yunlin County
/wiki/Foreign_relations_of_Taiwan,/wiki/Foreign_relations_of_Taiwan,Foreign relations,Foreign relations of Taiwan
/wiki/Cross-Strait_relations,/wiki/Cross-Strait_relations,Cross-Strait relations,Cross-Strait relations
/wiki/Political_status_of_Taiwan,/wiki/Political_status_of_Taiwan,Political status of Taiwan,Political status of Taiwan
/wiki/One_Country_on_Each_Side,/wiki/One_Country_on_Each_Side,One Country on Each Side,One Country on Each Side
/wiki/Special_non-state-to-state_relations,/wiki/Special_non-state-to-state_relations,Special non-state-to-state relations,Special non-state-to-state relations
/wiki/Two_Chinas,/wiki/Two_Chinas,Two Chinas,Two Chinas
/wiki/Chinese_Taipei,/wiki/Chinese_Taipei,Chinese Taipei,Chinese Taipei
/wiki/Taiwanization,/wiki/Taiwanization,Taiwanization,Taiwanization
/wiki/De-Sinicization,/wiki/De-Sinicization,De-Sinicization,De-Sinicization
/wiki/Taiwanese_nationalism,/wiki/Taiwanese_nationalism,Taiwanese nationalism,Taiwanese nationalism
/wiki/Chinese_nationalism,/wiki/Chinese_nationalism,Chinese nationalism,Chinese nationalism
/wiki/Taiwan_independence_movement,/wiki/Taiwan_independence_movement,Taiwan independence,Taiwan independence movement
/wiki/Chinese_unification,/wiki/Chinese_unification,Chinese unification,Chinese unification
/wiki/List_of_banks_in_Taiwan,/wiki/List_of_banks_in_Taiwan,Banks,List of banks in Taiwan
/wiki/Central_Bank_of_the_Republic_of_China_(Taiwan),/wiki/Central_Bank_of_the_Republic_of_China_(Taiwan),Central bank,Central Bank of the Republic of China (Taiwan)
/wiki/List_of_companies_of_Taiwan,/wiki/List_of_companies_of_Taiwan,Companies,List of companies of Taiwan
/wiki/New_Taiwan_dollar,/wiki/New_Taiwan_dollar,null,New Taiwan dollar
/wiki/Economic_history_of_Taiwan,/wiki/Economic_history_of_Taiwan,Economic history,Economic history of Taiwan
/wiki/Energy_in_Taiwan,/wiki/Energy_in_Taiwan,Energy,Energy in Taiwan
/wiki/Electricity_sector_in_Taiwan,/wiki/Electricity_sector_in_Taiwan,Electricity,Electricity sector in Taiwan
/wiki/Mining_in_Taiwan,/wiki/Mining_in_Taiwan,Mining,Mining in Taiwan
/wiki/List_of_metropolitan_areas_in_Taiwan,/wiki/List_of_metropolitan_areas_in_Taiwan,Metropolitan areas,List of metropolitan areas in Taiwan
/wiki/Taiwan_Stock_Exchange,/wiki/Taiwan_Stock_Exchange,Stock exchange,Taiwan Stock Exchange
/wiki/Taiwan_Miracle,/wiki/Taiwan_Miracle,Taiwan Miracle,Taiwan Miracle
/wiki/Telecommunications_in_Taiwan,/wiki/Telecommunications_in_Taiwan,Telecommunications,Telecommunications in Taiwan
/wiki/Transportation_in_Taiwan,/wiki/Transportation_in_Taiwan,Transportation,Transportation in Taiwan
/wiki/Taxation_in_Taiwan,/wiki/Taxation_in_Taiwan,Taxation,Taxation in Taiwan
/wiki/Uniform_Invoice_lottery,/wiki/Uniform_Invoice_lottery,Uniform Invoice lottery,Uniform Invoice lottery
/wiki/Culture_of_Taiwan,/wiki/Culture_of_Taiwan,Culture,Culture of Taiwan
/wiki/Demographics_of_Taiwan,/wiki/Demographics_of_Taiwan,Demographics,Demographics of Taiwan
/wiki/Taiwanese_people,/wiki/Taiwanese_people,Taiwanese people,Taiwanese people
/wiki/Taiwanese_aborigines,/wiki/Taiwanese_aborigines,Taiwanese aborigines,Taiwanese aborigines
/wiki/Han_Taiwanese,/wiki/Han_Taiwanese,Hans,Han Taiwanese
/wiki/Hoklo_Taiwanese,/wiki/Hoklo_Taiwanese,Hoklos,Hoklo Taiwanese
/wiki/Hakka_Taiwanese,/wiki/Hakka_Taiwanese,Hakkas,Hakka Taiwanese
/wiki/Languages_of_Taiwan,/wiki/Languages_of_Taiwan,Languages,Languages of Taiwan
/wiki/Varieties_of_Chinese,/wiki/Varieties_of_Chinese,Chinese,Varieties of Chinese
/wiki/Taiwanese_Mandarin,/wiki/Taiwanese_Mandarin,Mandarin,Taiwanese Mandarin
/wiki/Taiwanese_Hokkien,/wiki/Taiwanese_Hokkien,Hokkien,Taiwanese Hokkien
/wiki/Taiwanese_Hakka,/wiki/Taiwanese_Hakka,Hakka,Taiwanese Hakka
/wiki/Formosan_languages,/wiki/Formosan_languages,Formosan languages,Formosan languages
/wiki/Amis_language,/wiki/Amis_language,Amis,Amis language
/wiki/Atayal_language,/wiki/Atayal_language,Atayal,Atayal language
/wiki/Bunun_language,/wiki/Bunun_language,Bunun,Bunun language
/wiki/Paiwan_language,/wiki/Paiwan_language,Paiwan,Paiwan language
/wiki/Puyuma_language,/wiki/Puyuma_language,Puyuma,Puyuma language
/wiki/Rukai_language,/wiki/Rukai_language,Rukai,Rukai language
/wiki/Saisiyat_language,/wiki/Saisiyat_language,Saisiyat,Saisiyat language
/wiki/Seediq_language,/wiki/Seediq_language,Seediq,Seediq language
/wiki/Thao_language,/wiki/Thao_language,Thao,Thao language
/wiki/Tsou_language,/wiki/Tsou_language,Tsou,Tsou language
/wiki/Yami_language,/wiki/Yami_language,Yami,Yami language
/wiki/Taiwanese_Sign_Language,/wiki/Taiwanese_Sign_Language,Sign Language,Taiwanese Sign Language
/wiki/National_Anthem_of_the_Republic_of_China,/wiki/National_Anthem_of_the_Republic_of_China,Anthem,National Anthem of the Republic of China
/wiki/Architecture_of_Taiwan,/wiki/Architecture_of_Taiwan,Architecture,Architecture of Taiwan
/wiki/Education_in_Taiwan,/wiki/Education_in_Taiwan,Education,Education in Taiwan
/wiki/List_of_universities_in_Taiwan,/wiki/List_of_universities_in_Taiwan,Universities,List of universities in Taiwan
/wiki/Academia_Sinica,/wiki/Academia_Sinica,Academia Sinica,Academia Sinica
/wiki/Scholarships_in_Taiwan,/wiki/Scholarships_in_Taiwan,Scholarships,Scholarships in Taiwan
/wiki/History_of_education_in_Taiwan,/wiki/History_of_education_in_Taiwan,History,History of education in Taiwan
/wiki/Ministry_of_Science_and_Technology_(Taiwan),/wiki/Ministry_of_Science_and_Technology_(Taiwan),Ministry of Science and Technology,Ministry of Science and Technology (Taiwan)
